# t Temp Pres Epot Etot
8.900156 2.015043 16.346399 -669.935120 -343.498108
8.950157 1.993450 17.083382 -653.845825 -330.906952
9.000158 1.948483 18.546780 -626.012207 -310.358002
9.050159 2.040554 18.359024 -631.080200 -300.510468
9.100161 1.986286 18.720062 -621.985718 -300.207367
9.150162 2.066373 18.163950 -635.217346 -300.464966
9.200163 1.991787 16.914766 -656.423950 -333.754395
9.250164 1.998941 17.139414 -654.085449 -330.257050
9.300165 1.993904 17.896231 -638.591858 -315.579346
9.350166 1.998263 16.503744 -666.401978 -342.683380
9.400167 2.040387 18.361227 -629.217651 -298.674988
9.450169 2.017968 17.573723 -645.972656 -319.061829
9.500170 1.976871 20.133539 -593.270020 -273.016968
9.550171 1.993476 17.647444 -646.174500 -323.231415
9.600172 1.992538 17.510279 -648.595642 -325.804474
9.650173 2.044069 19.908890 -595.573364 -264.434265
9.700174 1.996047 16.476389 -664.902222 -341.542633
9.750175 1.976426 16.766283 -659.961487 -339.780518
9.800177 2.016912 17.051889 -654.631531 -327.891815
9.850178 1.939896 17.960720 -635.347778 -321.084656
9.900179 2.052605 18.122496 -635.591919 -303.069946
9.950180 1.941472 17.346678 -647.911072 -333.392670
10.000181 2.030365 16.566158 -664.696350 -335.777313
10.050182 2.007918 17.664133 -641.572815 -316.290131
10.100183 1.952145 18.463764 -626.139648 -309.892090
10.150185 2.027459 18.336342 -629.750549 -301.302216
10.200186 1.976653 19.633526 -602.950867 -282.733124
10.250187 2.040852 18.892841 -618.469177 -287.851227
10.300188 1.989954 15.458938 -685.312073 -362.939545
10.350189 1.969986 14.876569 -697.419495 -378.281830
10.400190 1.965701 17.971142 -636.383728 -317.940094
10.450191 2.011791 18.849285 -620.535645 -294.625580
10.500193 1.993396 17.074551 -656.156555 -333.226471
10.550194 1.974133 18.036156 -638.572388 -318.762756
10.600195 2.038267 17.130024 -656.665894 -326.466705
10.650196 1.938729 17.200369 -649.324829 -335.250732
10.700197 2.019142 19.737959 -600.937744 -273.836792
10.750198 1.987812 16.974485 -656.532227 -334.506683
10.800200 2.007820 16.290361 -670.605225 -345.338379
10.850201 1.979909 17.894642 -638.046387 -317.301056
10.900202 1.986544 18.797329 -617.975098 -296.155029
10.950203 1.983255 19.117790 -613.329407 -292.042053
11.000204 2.069752 16.847952 -661.046509 -325.746735
